ID	家系	体重	性别
900219001208797	38	640	雌性
900202303000474	22	606	雌性
900202302003407	50	654	雌性
900202302007343	102	414	雌性
156020226010488	50	667	雌性
900202303000688	22	596	雌性
900202302004902	73	670	雌性
900202302005882	8	636	雌性
900202302006500	126	577	雌性
900202302004041	78	588	雌性
900202302007217	102	478	雌性
900202302007231	93	678	雌性
900202397201834	92	736	雌性
900202302005641	3	768	雌性
900202302005782	8	643	雌性
900202397201905	86	629	雌性
900202302005790	1	612	雌性
900202302004572	78	822	雌性
900202302003505	58	655	雌性
900202302005646	15	662	雌性
900202302007144	102	470	雌性
900202397201987	82	614	雌性
900202302005900	7	570	雌性
900202302005135	7	526	雌性
900202302005071	5	671	雌性
900202303000668	35	695	雌性
900202397201693	86	668	雌性
900202302005908	5	683	雌性
900202302007182	94	624	雌性
900202302005335	7	472	雌性
900219001208697	46	742	雌性
900202302004857	75	634	雌性
900202302003873	53	745	雌性
900202302005760	12	618	雌性
900202303000955	27	573	雌性
900202303000842	35	638	雌性
900202302004325	67	698	雌性
900202302005833	12	416	雌性
900202302006756	126	664	雌性
900202302005680	7	524	雌性
900202302005633	2	694	雌性
900202302005763	12	561	雌性
900202302004867	67	742	雌性
900202302007229	102	396	雌性
900202302005803	12	550	雌性
900202302007228	95	686	雌性
900202303000295	37	676	雌性
900202302004538	78	578	雌性
900202302005430	12	381	雌性
900202302005974	7	454	雌性
900202397201851	82	612	雌性
900202303000251	35	696	雌性
900202302004506	67	684	雌性
900202302005925	3	722	雌性
900219001208973	46	768	雌性
900202303000785	32	702	雌性
900202302003831	46	723	雌性
900202302005892	12	488	雌性
900202303000764	33	634	雌性
900219001208824	46	758	雌性
900202302005795	7	442	雌性
900202302005842	12	435	雌性
900202303000618	30	707	雌性
900219001209559	43	691	雌性
900202303000946	32	667	雌性
900202302005215	12	537	雌性
900202302005570	12	430	雌性
900202302005490	7	570	雌性
900202302007028	102	631	雌性
900202303000795	35	668	雌性
900202302005003	2	781	雌性
900202302005562	7	363	雌性
900202302004763	60	621	雌性
900202302004602	65	620	雌性
900202302006929	126	613	雌性
900202302003750	43	737	雌性
900202302005978	21	676	雌性
900202302005191	8	682	雌性
900202302005268	7	480	雌性
900202302005284	12	510	雌性
900202303000280	36	698	雌性
900202302005152	12	360	雌性
900202302004752	70	624	雌性
900202302004692	76	700	雌性
900202302004617	70	576	雌性
900202302004890	78	579	雌性
900202302005875	7	543	雌性
900202302007029	95	740	雌性
900202302005920	7	475	雌性
900202303000515	30	826	雌性
900219001209217	57	730	雌性
900202302005559	12	434	雌性
900202302007248	102	453	雌性
900202302004410	78	606	雌性
900202303000749	22	566	雌性
900202302005885	15	650	雌性
900202303000845	37	687	雌性
900202302007353	93	610	雌性
900219001205187	45	700	雌性
900202302007244	102	602	雌性
900202303000910	34	638	雌性
900202302007282	102	504	雌性
900202302005779	8	640	雌性
900202302007294	102	539	雌性
900202397201999	86	669	雌性
900219001206339	53	756	雌性
900202302004040	78	604	雌性
900202302004101	64	639	雌性
900202499109970	41	737	雌性
900202302005316	7	544	雌性
900202302004973	64	591	雌性
900202302003846	46	723	雌性
900202302006939	126	680	雌性
900202302004376	64	627	雌性
900202302005025	12	489	雌性
900202303000443	36	734	雌性
900202302005189	12	380	雌性
900202397201323	102	489	雌性
900202302004010	76	655	雌性
900202302005480	7	404	雌性
900202302005634	7	488	雌性
900219001208912	57	701	雌性
900202397201633	81	719	雌性
900202302006637	126	612	雌性
900202302005449	12	540	雌性
900202302004657	58	650	雌性
900219001209413	50	660	雌性
900202303000614	33	632	雌性
900202302005702	15	638	雌性
900202302004642	76	705	雌性
900202302006958	126	662	雌性
156020226010810	37	726	雌性
900202302004621	60	589	雌性
900202302007240	94	637	雌性
900202302004337	76	721	雌性
900202302005230	13	684	雌性
900202302007222	102	594	雌性
900202303000713	37	702	雌性
900202499109983	40	730	雌性
900202302007049	95	743	雌性
156020226010980	51	624	雌性
900202302003754	40	707	雌性
900202302005521	7	548	雌性
900202302005474	15	724	雌性
900202302005128	12	437	雌性
900202303000951	30	703	雌性
900202302004528	65	629	雌性
900202303000120	35	640	雌性
900202302004188	76	709	雌性
900202302004304	65	646	雌性
900202302005567	3	802	雌性
900202302003980	46	736	雌性
900202302005639	12	473	雌性
900202302004891	67	779	雌性
900219001209734	41	768	雌性
900202302003891	41	708	雌性
900202397201662	86	702	雌性
900219001209387	38	717	雌性
900202397201620	81	609	雌性
900219001206546	40	710	雌性
900202302005585	3	763	雌性
900202303000914	37	694	雌性
900202302007077	95	718	雌性
900202303000715	27	650	雌性
900202302005503	7	507	雌性
900219001548078	62	628	雄性
900219001943692	2	713	雄性
900219001943733	7	623	雄性
900202302003252	95	663	雄性
900219001943586	12	616	雄性
900202499109795	34	635	雄性
900219001943797	13	638	雄性
900202499110579	42	765	雄性
900219001943792	12	571	雄性
900219001547922	65	591	雄性
900202302003679	95	652	雄性
900219001548164	73	787	雄性
900219001941668	83	693	雄性
900202499110044	42	708	雄性
900219001547827	68	700	雄性
900219001547553	73	720	雄性
900219001943808	14	752	雄性
900219001941882	93	587	雄性
900202499109200	30	730	雄性
900219001547477	65	640	雄性
900219001943581	14	582	雄性
900202302003769	96	639	雄性
900219001943526	1	647	雄性
900219001943974	5	739	雄性
900202499109167	22	706	雄性
900202499110982	40	750	雄性
900219001547924	57	650	雄性
900202499110987	41	691	雄性
900219001943394	12	576	雄性
900219001941919	83	789	雄性
900219001547349	57	695	雄性
900219001547334	62	721	雄性
900202499110838	38	633	雄性
900219001941654	82	645	雄性
900219001547703	57	651	雄性
900219001548263	68	743	雄性
900202397201924	126	576	雄性
900219001943786	16	607	雄性
900219001944119	5	688	雄性
900202499109646	33	606	雄性
900219001941826	78	606	雄性
900202499110561	42	737	雄性
900202499110238	51	660	雄性
900202499109743	36	740	雄性
900219001941951	76	694	雄性
900202499109096	21	705	雄性
900219001943569	7	525	雄性
900219001942142	75	608	雄性
900219001941811	76	663	雄性
900219001944057	13	625	雄性
900219001943982	7	451	雄性
900202499110799	40	660	雄性
900219001548187	60	592	雄性
900219001943831	7	489	雄性
900202499110775	40	651	雄性
900219001943857	12	485	雄性
900202499109709	34	671	雄性
900202499110264	44	717	雄性
900219001548255	57	671	雄性
900219001941870	86	622	雄性
900219001941697	75	611	雄性
900202499110967	42	723	雄性
900219001547434	64	644	雄性
900219001201029	102	416	雄性
900219001943999	7	462	雄性
900219001944316	6	631	雄性
900219001943893	16	609	雄性
900202499110609	42	661	雄性
900202499110488	42	666	雄性
900202499109556	33	608	雄性
900219001942032	92	663	雄性
900202302003115	96	544	雄性
900219001548267	64	604	雄性
900219001941345	87	634	雄性
900219001548252	64	630	雄性
900219001547964	62	578	雄性
900219001547654	64	660	雄性
900219001548009	68	706	雄性
900219001943948	15	652	雄性
900202499109161	18	587	雄性
900219001943703	14	687	雄性
900219001943490	1	700	雄性
900219001943334	15	656	雄性
900202499109306	27	585	雄性
900219001943874	14	584	雄性
900202499110509	53	691	雄性
900219001941755	87	783	雄性
900219001942124	75	614	雄性
900202499109800	36	725	雄性
900219001943418	7	378	雄性
900219001942147	92	613	雄性
900219001201200	102	453	雄性
900219001944299	13	678	雄性
900219001942244	87	554	雄性
900202499109537	33	608	雄性
900202499109582	33	636	雄性
900219001942095	75	617	雄性
900219001943598	1	721	雄性
900202499110662	50	763	雄性
900202499109378	21	664	雄性
900202499110883	51	611	雄性
900219001943532	3	728	雄性
900202499110722	50	633	雄性
900219001943843	16	651	雄性
900219001943559	2	690	雄性
900219001944035	5	687	雄性
900219001944088	12	543	雄性
900202499109372	30	788	雄性
900219001201333	94	645	雄性
900219001942271	92	589	雄性
900202499109497	18	726	雄性
900219001943428	16	587	雄性
900219001944095	13	728	雄性
900219001943359	14	536	雄性
900219001943426	14	716	雄性
900202499109652	34	718	雄性
900202397201631	126	682	雄性
900202302003558	95	719	雄性
900202302003565	96	636	雄性
900202499109620	32	678	雄性
900202499110562	37	672	雄性
900202499110458	38	677	雄性
900202302003159	96	633	雄性
900202499109752	34	629	雄性
900219001943427	12	497	雄性
900202499109588	33	588	雄性
900219001943585	6	609	雄性
900202499110241	50	638	雄性
900202499110350	43	697	雄性
900202499109622	33	645	雄性
900219001548050	57	642	雄性
900202499110227	37	675	雄性
900219001547541	64	627	雄性
900219001941873	81	655	雄性
900219001941844	78	620	雄性
900219001941959	73	677	雄性
900219001941959	73	677	雄性
900202302005358	7	462	雄性
900202302003211	50	705	雄性
900202302005636	7	362	雄性
900202303000136	37	692	雄性
900202302005870	1	615	雄性
900202302003853	40	676	雄性
900202302005185	7	297	雄性
900202302004869	76	672	雄性
900202302005547	5	801	雄性
900202302004358	65	591	雄性
900202302005727	18	596	雄性
900202302007081	94	637	雄性
900202303000431	22	775	雄性
900202303000298	35	666	雄性
900202302007026	102	536	雄性
900202302007390	102	617	雄性
900202302007351	94	687	雄性
900202302004718	75	637	雄性
900202303000252	34	630	雄性
900202303000304	36	743	雄性
900202303000973	36	726	雄性
900202303000641	34	654	雄性
900202303000305	35	706	雄性
900202303000993	32	745	雄性
900202302005969	5	680	雄性
900202303000751	27	624	雄性
900202499109987	50	644	雄性
